id,merchant_name,merchant_gstin,invoice_no,date,category,total_amount,gst_rate,gst_amount,cgst,sgst,igst,itc_eligible
1,Prime Properties Ltd,,RENT-8-2022,2022-08-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
2,Store Employees Salaries,,SAL-8-2022,2022-08-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
3,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-8-2022,2022-08-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
4,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-8-2022,2022-08-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
5,HDFC Bank Corp,,EXP-5,2022-08-01T16:00:30.171307,Banking Charges,359.36,0.0,0.0,0.0,0.0,0.0,False
6,Speedy Delivery Partners,,EXP-6,2022-08-02T10:59:30.171307,Delivery Charges,988.47,0.0,0.0,0.0,0.0,0.0,False
7,Printech Solutions,,EXP-7,2022-08-03T10:59:30.171307,Printing & Stationery,468.15,0.0,0.0,0.0,0.0,0.0,False
8,HDFC Bank Corp,,EXP-8,2022-08-05T18:02:30.171307,Banking Charges,290.92,0.0,0.0,0.0,0.0,0.0,False
9,Printech Solutions,,EXP-9,2022-08-06T17:20:30.171307,Printing & Stationery,367.56,0.0,0.0,0.0,0.0,0.0,False
10,Printech Solutions,,EXP-10,2022-08-07T14:12:30.171307,Printing & Stationery,732.15,0.0,0.0,0.0,0.0,0.0,False
11,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-8-2022,2022-08-10T14:00:00.171307,Electricity Bill,6255.77,18.0,954.27,477.13,477.13,0.0,True
12,Speedy Delivery Partners,,EXP-12,2022-08-10T15:11:30.171307,Delivery Charges,614.34,0.0,0.0,0.0,0.0,0.0,False
13,Speedy Delivery Partners,,EXP-13,2022-08-11T10:04:30.171307,Delivery Charges,544.72,0.0,0.0,0.0,0.0,0.0,False
14,Google Ads India,,EXP-14,2022-08-12T14:56:30.171307,Marketing,1426.49,0.0,0.0,0.0,0.0,0.0,False
15,Local Carton Wholesalers,,EXP-15,2022-08-13T16:42:30.171307,Packaging Material,861.43,0.0,0.0,0.0,0.0,0.0,False
16,Printech Solutions,,EXP-16,2022-08-14T12:12:30.171307,Printing & Stationery,200.56,0.0,0.0,0.0,0.0,0.0,False
17,Printech Solutions,,EXP-17,2022-08-19T12:09:30.171307,Printing & Stationery,219.55,0.0,0.0,0.0,0.0,0.0,False
18,HDFC Bank Corp,,EXP-18,2022-08-20T11:34:30.171307,Banking Charges,120.56,0.0,0.0,0.0,0.0,0.0,False
19,Printech Solutions,,EXP-19,2022-08-25T14:05:30.171307,Printing & Stationery,739.75,0.0,0.0,0.0,0.0,0.0,False
20,Local Carton Wholesalers,,EXP-20,2022-08-29T18:43:30.171307,Packaging Material,1233.66,0.0,0.0,0.0,0.0,0.0,False
21,Prime Properties Ltd,,RENT-9-2022,2022-09-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
22,Store Employees Salaries,,SAL-9-2022,2022-09-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
23,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-9-2022,2022-09-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
24,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-9-2022,2022-09-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
