id,name,category,base_cost,current_price,stock_level,hsn_code,gst_rate,image_url,barcode,updated_at
1,Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 1,Computers & Accessories,360.09,613.58,132,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg,8901234000000,2026-07-25 11:42:36.755312
2,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, ",Computers & Accessories,174.35,289.9,81,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zOsqQOAOL._SY445_SX342_QL70_FMwebp_.jpg,8901234000001,2026-07-25 11:42:36.795950
3,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7",Computers & Accessories,170.05,285.13,94,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31IvNJZnmdL._SY445_SX342_QL70_FMwebp_.jpg,8901234000002,2026-07-25 11:42:36.792868
4,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3",Computers & Accessories,287.31,476.02,17,85444220,18.0,https://m.media-amazon.com/images/I/41V5FtEWPkL._SX300_SY300_QL70_FMwebp_.jpg,8901234000003,2026-07-25 11:42:36.743456
5,Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPho,Computers & Accessories,134.97,230.21,19,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VzNhhqifL._SX300_SY300_QL70_FMwebp_.jpg,8901234000004,2026-07-25 11:42:36.747086
6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, St",Computers & Accessories,135.22,245.41,14,85444220,18.0,https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg,8901234000005,2026-07-25 11:42:36.769905
7,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Tran",Computers & Accessories,153.59,259.73,131,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg,8901234000006,2026-07-25 11:42:36.770933
8,MI Usb Type-C Cable Smartphone (Black),Computers & Accessories,204.43,346.09,103,85444220,18.0,https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg,8901234000007,2026-07-25 11:42:36.788733
9,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Si",Computers & Accessories,429.66,706.53,19,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31e6ElWRymL._SX300_SY300_QL70_FMwebp_.jpg,8901234000008,2026-07-25 11:42:36.745510
10,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablet",Computers & Accessories,179.11,295.88,72,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kj3q4SepL._SY445_SX342_QL70_FMwebp_.jpg,8901234000009,2026-07-25 11:42:36.802088
11,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Functio,Computers & Accessories,134.7,209.39,42,85444220,18.0,https://m.media-amazon.com/images/I/31dJ+lXJq3L._SY300_SX300_.jpg,8901234000010,2026-07-25 11:42:36.813008
12,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers & Accessories,259.0,429.88,30,85444220,18.0,https://m.media-amazon.com/images/I/41SDfuK7L2L._SX300_SY300_QL70_FMwebp_.jpg,8901234000011,2026-07-25 11:42:36.761714
13,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,195.71,347.77,12,85444220,18.0,https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,8901234000012,2026-07-25 11:42:36.788733
14,Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quic,Computers & Accessories,307.7,510.66,38,85444220,18.0,https://m.media-amazon.com/images/I/31J6qGhAL9L._SX300_SY300_QL70_FMwebp_.jpg,8901234000013,2026-07-25 11:42:36.739281
15,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function,Computers & Accessories,135.13,220.07,103,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41R08zLK69L._SX300_SY300_QL70_FMwebp_.jpg,8901234000014,2026-07-25 11:42:36.791840
16,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers & Accessories,296.48,544.2,16,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31gaP7qpBNL._SX300_SY300_QL70_FMwebp_.jpg,8901234000015,2026-07-25 11:42:36.767862
17,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,12464.21,21252.11,93,84713010,18.0,https://m.media-amazon.com/images/I/51fmHk3km+L._SX300_SY300_.jpg,8901234000016,2026-07-25 11:42:36.794923
18,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones,",Computers & Accessories,220.11,364.63,20,85444220,18.0,https://m.media-amazon.com/images/I/41d84o5-M-L._SY445_SX342_QL70_FMwebp_.jpg,8901234000017,2026-07-25 11:42:36.750171
19,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmi",Computers & Accessories,170.57,285.42,125,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41xwPQLxTML._SX300_SY300_QL70_FMwebp_.jpg,8901234000018,2026-07-25 11:42:36.777424
20,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Electronics,11542.16,18753.48,21,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51v-2Nzr+ML._SY300_SX300_.jpg,8901234000019,2026-07-25 11:42:36.748123
21,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And I",Computers & Accessories,822.98,1375.45,239,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41TZJiPRRwL._SX300_SY300_QL70_FMwebp_.jpg,8901234000020,2026-07-25 11:42:36.736186
22,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",Electronics,239.87,390.53,18,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31MIyzg8uzL._SX300_SY300_QL70_FMwebp_.jpg,8901234000021,2026-07-25 11:42:36.757576
23,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Bl,Electronics,11694.88,19623.2,88,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51q3+E64azL._SX300_SY300_.jpg,8901234000022,2026-07-25 11:42:36.796977
24,Flix Micro Usb Cable For Smartphone (Black),Computers & Accessories,51.54,92.84,16,85444220,18.0,https://m.media-amazon.com/images/I/31qGpf8uzuL._SY445_SX342_QL70_FMwebp_.jpg,8901234000023,2026-07-25 11:42:36.764798
25,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),Electronics,10008.34,16646.23,43,84713010,18.0,https://m.media-amazon.com/images/I/41gikeSuhAL._SY300_SX300_QL70_FMwebp_.jpg,8901234000024,2026-07-25 11:42:36.784609
26,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Comput,Electronics,171.72,280.09,31,85444220,18.0,https://m.media-amazon.com/images/I/41da4tk7N+L._SY300_SX300_.jpg,8901234000025,2026-07-25 11:42:36.732096
27,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),Electronics,13015.39,22832.86,13,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41WE9ZGEC4L._SX300_SY300_QL70_FMwebp_.jpg,8901234000026,2026-07-25 11:42:36.785627
28,Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Spee,Computers & Accessories,254.5,472.65,16,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41GeM83DzzL._SX300_SY300_QL70_FMwebp_.jpg,8901234000027,2026-07-25 11:42:36.766838
29,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad ",Computers & Accessories,822.95,1276.41,46,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/4177nw8okbL._SX300_SY300_QL70_FMwebp_.jpg,8901234000028,2026-07-25 11:42:36.809913
30,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers & Accessories,266.95,444.51,40,85444220,18.0,https://m.media-amazon.com/images/I/41jk4zYjTsL._SX300_SY300_QL70_FMwebp_.jpg,8901234000029,2026-07-25 11:42:36.762742
31,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black",Computers & Accessories,170.83,314.02,16,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41Fqm0bR7PL._SX300_SY300_QL70_FMwebp_.jpg,8901234000030,2026-07-25 11:42:36.765826
32,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 4",Computers & Accessories,162.69,273.12,154,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41cCZ5EPnvL._SX300_SY300_QL70_FMwebp_.jpg,8901234000031,2026-07-25 11:42:36.769905
33,Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable,Computers & Accessories,330.12,553.9,18,85444220,18.0,https://m.media-amazon.com/images/I/419QKVTxaSL._SX300_SY300_QL70_FMwebp_.jpg,8901234000032,2026-07-25 11:42:36.757576
34,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers & Accessories,517.68,878.97,20,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/11ICusapw3L._SY300_SX300_QL70_FMwebp_.jpg,8901234000033,2026-07-25 11:42:36.749140
35,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in ",Computers & Accessories,178.2,299.62,18,85444220,18.0,https://m.media-amazon.com/images/I/41wN7jooz0L._SX300_SY300_QL70_FMwebp_.jpg,8901234000034,2026-07-25 11:42:36.754285
36,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong",Computers & Accessories,88.12,142.72,66,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31ew3okQR2L._SX300_SY300_QL70_FMwebp_.jpg,8901234000035,2026-07-25 11:42:36.804248
