id,purchase_id,product_name,hsn_code,quantity,price_at_purchase,gst_rate,total_amount
1,1,"ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes with Advan",85444220,38,259.96,18.0,9878.48
2,1,MI Braided USB Type-C Cable for Charging Adapter (Red),85444220,40,296.48,18.0,11859.2
3,1,Wayona Type C to Lightning MFI Certified 20W Fast charging Nylon Braided USB C Cable for iPhone,85444220,38,636.48,18.0,24186.24
4,1,Firestick Remote,84713010,44,1259.14,18.0,55402.16
5,1,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,85444220,41,295.14,18.0,12100.74
6,1,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),84713010,31,6279.97,18.0,194679.07
7,1,Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPho,85444220,41,134.97,18.0,5533.77
8,1,"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 ",85444220,24,309.33,18.0,7423.92
9,1,"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Ca",84713010,15,117.93,18.0,1768.95
10,1,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Met",85444220,39,187.45,18.0,7310.55
11,1,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Sturdy Cable with 3A Fast Chargi",85444220,27,266.59,18.0,7197.93
12,1,"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Da",85444220,36,50.19,18.0,1806.84
13,1,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),84713010,47,17718.26,18.0,832758.22
14,1,AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Fe,85444220,29,162.36,18.0,4708.44
15,1,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, St",85444220,24,135.22,18.0,3245.28
16,2,TCL 100 cm (40 inches) Full HD Certified Android R Smart LED TV 40S6505 (Black),84713010,37,16743.35,18.0,619503.95
17,2,Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters),85444220,28,190.7,18.0,5339.6
18,2,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangl",85444220,21,233.58,18.0,4905.18
19,2,AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Fe,85444220,28,162.36,18.0,4546.08
20,2,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer Wit",85444220,40,171.95,18.0,6878.0
21,2,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And I",85444220,48,822.98,18.0,39503.04
22,2,Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 1,85444220,15,360.09,18.0,5401.35
23,2,"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma ",84713010,35,1418.39,18.0,49643.65
24,2,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),84713010,39,12353.05,18.0,481768.95
25,2,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),85444220,34,259.0,18.0,8806.0
26,3,Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPho,85444220,20,134.97,18.0,2699.4
27,3,MI Braided USB Type-C Cable for Charging Adapter (Red),85444220,21,296.48,18.0,6226.08
28,3,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",85444220,38,266.95,18.0,10144.1
29,3,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Si",85444220,25,429.66,18.0,10741.5
30,3,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Origi,84713010,35,341.72,18.0,11960.2
31,3,"Gilary Multi Charging Cable, 3 in 1 Nylon Braided Fast Charging Cable for iPhone Micro USB Type",85444220,39,306.96,18.0,11971.44
32,3,Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,85444220,27,119.99,18.0,3239.73
33,3,"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charging Cable Compatib",85444220,40,309.66,18.0,12386.4
34,3,"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma ",84713010,23,1418.39,18.0,32622.97
35,3,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Bl,84713010,35,11694.88,18.0,409320.8
36,4,"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 ",85444220,15,309.33,18.0,4639.95
37,4,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),85444220,50,259.0,18.0,12950.0
38,4,OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),84713010,27,14108.22,18.0,380921.94
39,4,SKYWALL 81.28 cm (32 inches) HD Ready Smart LED TV 32SWELS-PRO (Black),84713010,50,6237.94,18.0,311897.0
40,4,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Tran",85444220,22,153.59,18.0,3378.98
41,4,AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Fe,85444220,23,162.36,18.0,3734.28
42,4,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cabl",85444220,40,179.16,18.0,7166.4
43,4,Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),84713010,19,7178.24,18.0,136386.56
44,4,TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapt,85444220,50,881.15,18.0,44057.5
45,4,MI Braided USB Type-C Cable for Charging Adapter (Red),85444220,46,296.48,18.0,13638.08
46,4,"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). USB C ",85444220,33,841.71,18.0,27776.43
47,4,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Si",85444220,20,429.66,18.0,8593.2
48,4,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),84713010,35,10008.34,18.0,350291.9
49,4,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones,",85444220,29,220.11,18.0,6383.19
50,4,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Origi,84713010,49,341.72,18.0,16744.28
51,4,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Comput,85444220,38,171.72,18.0,6525.36
52,4,Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,85444220,42,119.99,18.0,5039.58
53,5,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",85444220,28,347.81,18.0,9738.68
54,5,"boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black)",85444220,38,263.29,18.0,10005.02
55,5,TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapt,85444220,17,881.15,18.0,14979.55
56,5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong",85444220,22,88.12,18.0,1938.64
57,5,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey",85444220,19,132.32,18.0,2514.08
58,5,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),84713010,46,27018.16,18.0,1242835.36
59,5,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7",85444220,50,170.05,18.0,8502.5
60,5,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),84713010,48,17718.26,18.0,850476.48
61,5,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Met",85444220,31,187.45,18.0,5810.95
62,5,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmi",85444220,25,170.57,18.0,4264.25
63,5,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Sturdy Cable with 3A Fast Chargi",85444220,23,266.59,18.0,6131.57
64,5,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black",85444220,48,170.83,18.0,8199.84
65,6,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey",85444220,25,132.32,18.0,3308.0
66,6,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),84713010,29,12353.05,18.0,358238.45
67,6,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black",85444220,28,170.83,18.0,4783.24
68,6,Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Spee,85444220,30,254.5,18.0,7635.0
69,6,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Tran",85444220,41,153.59,18.0,6297.19
70,6,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Met",85444220,47,187.45,18.0,8810.15
71,6,"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipa",85444220,33,361.67,18.0,11935.11
72,6,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangl",85444220,19,233.58,18.0,4438.02
73,6,"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano ",85444220,18,228.1,18.0,4105.8
74,6,Lapster USB 3.0 A to Micro B SuperSpeed for hard disk cable - short cable,85444220,35,169.29,18.0,5925.15
75,6,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer Wit",85444220,30,171.95,18.0,5158.5
76,6,OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),84713010,45,14108.22,18.0,634869.9
77,6,"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Da",85444220,32,50.19,18.0,1606.08
78,6,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3",85444220,30,287.31,18.0,8619.3
79,6,OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black),84713010,34,21645.62,18.0,735951.08
80,6,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Dat",85444220,32,177.73,18.0,5687.36
81,6,SKYWALL 81.28 cm (32 inches) HD Ready Smart LED TV 32SWELS-PRO (Black),84713010,39,6237.94,18.0,243279.66
82,6,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,85444220,17,295.14,18.0,5017.38
83,6,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Tec",85444220,17,176.93,18.0,3007.81
84,6,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad ",85444220,32,822.95,18.0,26334.4
85,6,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),84713010,20,17718.26,18.0,354365.2
86,6,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Ip",85444220,44,770.95,18.0,33921.8
87,7,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, St",85444220,34,135.22,18.0,4597.48
88,7,"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano ",85444220,45,228.1,18.0,10264.5
89,7,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),84713010,26,12464.21,18.0,324069.46
90,7,Lapster USB 3.0 A to Micro B SuperSpeed for hard disk cable - short cable,85444220,30,169.29,18.0,5078.7
91,7,"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 ",85444220,20,309.33,18.0,6186.6
92,7,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),85444220,37,443.51,18.0,16409.87
93,7,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,85444220,48,295.14,18.0,14166.72
94,7,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),84713010,34,29341.61,18.0,997614.74
95,7,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Comput,85444220,35,171.72,18.0,6010.2
96,7,SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11,85444220,30,178.35,18.0,5350.5
97,7,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangl",85444220,50,233.58,18.0,11679.0
98,7,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",85444220,15,347.81,18.0,5217.15
99,7,TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32S5205 (Black),84713010,34,9842.22,18.0,334635.48
100,7,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Sturdy Cable with 3A Fast Chargi",85444220,20,266.59,18.0,5331.8
101,7,"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma ",84713010,37,1418.39,18.0,52480.43
102,7,Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),84713010,42,23642.17,18.0,992971.14
103,7,"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Ca",84713010,39,117.93,18.0,4599.27
104,7,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablet",85444220,26,179.11,18.0,4656.86
105,8,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, ",85444220,38,174.35,18.0,6625.3
106,8,"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",84713010,21,156.06,18.0,3277.26
107,8,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad ",85444220,19,822.95,18.0,15636.05
108,8,Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),84713010,30,7178.24,18.0,215347.2
109,8,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Ip",85444220,17,770.95,18.0,13106.15
110,8,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",85444220,25,266.95,18.0,6673.75
111,8,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function,85444220,49,135.13,18.0,6621.37
112,8,Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),84713010,27,28757.97,18.0,776465.19
113,8,"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano ",85444220,29,228.1,18.0,6614.9
114,8,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cabl",85444220,30,179.16,18.0,5374.8
115,8,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Dat",85444220,45,177.73,18.0,7997.85
116,8,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),84713010,44,29341.61,18.0,1291030.84
117,8,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charg",85444220,37,678.87,18.0,25118.19
118,8,Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Spee,85444220,30,254.5,18.0,7635.0
119,8,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7",85444220,30,170.05,18.0,5101.5
120,8,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",85444220,26,270.44,18.0,7031.44
121,9,"Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable Fast Charger Cord For Iphone, Ipad ",85444220,21,574.4,18.0,12062.4
122,9,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),84713010,49,27018.16,18.0,1323889.84
