id,timestamp,total_amount,uuid,payment_method,customer_name,notes,cashier
1,2022-07-27T19:53:38.171307,74.28,6cd184da-674a-4d6b-b898-8e8b67a88cda,Cash,Walk-in Guest 94,,Manager Admin
2,2022-07-27T19:34:07.171307,18992.32,f7aaca99-47d7-4fd9-acd1-090cbb98a693,Cash,Counter Customer,,Manager Admin
3,2022-07-27T10:05:16.171307,1902.86,ed1344ef-a48c-49ae-afaf-e7be68d21718,Cash,Walk-in Guest 39,,Manager Admin
4,2022-07-27T09:25:56.171307,44529.95,d6ea5eee-3e61-4d7a-a780-1a81c8f75c16,Cash,Walk-in Guest 93,,Manager Admin
5,2022-07-27T21:57:51.171307,4852.42,72dcdcdb-0eb0-45e8-90ff-3a3c4112852a,UPI,Counter Customer,,Manager Admin
6,2022-07-27T21:21:34.171307,571.45,b03e6d4a-d6f2-48fb-94cb-def310f490c6,Cash,Walk-in Guest 14,,Manager Admin
7,2022-07-27T16:10:35.171307,1395.96,e64be34b-1c7b-4bf5-a448-4c639da243d4,Card,Walk-in Guest 52,,Manager Admin
8,2022-07-28T15:18:15.171307,16650.06,8e9de118-e391-4ce8-9d2a-ca153b50f288,Cash,Counter Customer,,Manager Admin
9,2022-07-28T21:34:23.171307,11461.82,26cc5fc8-1914-4680-bc47-be5171e38a34,UPI,Counter Customer,Standard counter checkout,Manager Admin
10,2022-07-28T21:47:03.171307,80792.95,65cae981-766b-408c-a5f9-20891316ba49,Cash,Walk-in Guest 51,,Manager Admin
11,2022-07-28T10:50:23.171307,15703.61,5ed6b3e7-579f-436e-aca4-377ae4d188bb,Cash,Counter Customer,,Manager Admin
12,2022-07-29T16:07:35.171307,858.32,a299f2b6-1947-4fdc-bb37-316e93930ba6,UPI,Counter Customer,,Manager Admin
13,2022-07-29T10:07:37.171307,783.22,9237ec2c-f65a-4b6e-83d2-a8776367e170,UPI,Counter Customer,,Manager Admin
14,2022-07-29T19:33:41.171307,37800.34,ff1c30c8-0073-4d67-9135-f53b00966e18,UPI,Walk-in Guest 41,Standard counter checkout,Manager Admin
15,2022-07-29T09:48:11.171307,2943.85,cb304fbb-2876-41a4-9c28-745bbf17e021,Card,Counter Customer,,Manager Admin
16,2022-07-29T20:39:51.171307,39765.18,a9ec6f7a-c3f6-4683-b779-fa757c9b8695,UPI,Walk-in Guest 21,Standard counter checkout,Manager Admin
17,2022-07-29T15:52:19.171307,58703.5,1fd116cd-4b34-41bd-9660-b8aa4615f47a,Cash,Counter Customer,,Manager Admin
18,2022-07-29T12:36:35.171307,28139.31,8b9d9f9b-3584-4ab6-b74b-50773e0bcbec,UPI,Counter Customer,Standard counter checkout,Manager Admin
19,2022-07-29T10:31:36.171307,770.84,0528bac4-ada6-4827-927b-0a56cde6b895,Cash,Walk-in Guest 54,,Manager Admin
20,2022-07-29T18:41:41.171307,32187.54,f318ed91-8ae9-47aa-aa48-07ce27989adc,Cash,Walk-in Guest 88,,Manager Admin
21,2022-07-29T18:55:00.171307,1089.95,81e42177-98e1-43ec-a713-8728adcae1de,UPI,Walk-in Guest 77,,Manager Admin
22,2022-07-29T11:39:56.171307,1719.37,7a073278-6786-4c31-9020-57ee0723cec2,Cash,Counter Customer,,Manager Admin
23,2022-07-29T20:01:46.171307,1845.36,d07ede03-a0a9-4979-86c9-d83e9e43dfa1,Cash,Counter Customer,,Manager Admin
24,2022-07-29T11:25:12.171307,26954.05,8e390819-e8a7-4367-9fda-7fd070a5aff7,UPI,Counter Customer,,Manager Admin
25,2022-07-30T09:17:26.171307,16658.8,59ba1313-e648-4b19-bfdb-359c82965189,Cash,Counter Customer,,Manager Admin
26,2022-07-30T10:37:15.171307,13997.42,d89cd3fd-e411-4401-8b93-6bba5998af4a,Cash,Walk-in Guest 59,,Manager Admin
27,2022-07-30T21:33:44.171307,21439.72,14ebaabd-8418-4bdd-a698-de263b25cab2,Cash,Walk-in Guest 15,,Manager Admin
28,2022-07-30T09:26:57.171307,738.04,c0ad4ce1-77a0-4a2d-a2ed-25a9ee65f0c1,UPI,Counter Customer,,Manager Admin
29,2022-07-30T12:24:11.171307,10319.3,c6b274f2-6733-4b19-9874-2f100dec8c07,Cash,Counter Customer,,Manager Admin
30,2022-07-30T12:35:34.171307,3999.34,a3555c25-6f41-433e-b99e-06ba3ad72303,UPI,Counter Customer,,Manager Admin
31,2022-07-30T20:34:42.171307,2771.18,c741bfc6-c99f-4e1f-a798-e624947f88db,UPI,Counter Customer,,Manager Admin
32,2022-07-30T12:34:41.171307,18199.54,9a2d87aa-1b34-47db-a46a-5742d63093a9,Cash,Counter Customer,,Manager Admin
33,2022-07-30T20:36:55.171307,1665.96,b73d5cef-b665-42d4-b4e2-1629f5e2ef66,Cash,Counter Customer,,Manager Admin
34,2022-07-31T20:25:17.171307,40664.16,bf7a4329-40e9-40c1-a927-6158cb76edcb,Cash,Walk-in Guest 13,,Manager Admin
35,2022-07-31T20:38:49.171307,57495.56,9a852373-77cc-48f4-8c25-bedee57389e7,UPI,Walk-in Guest 32,,Manager Admin
36,2022-07-31T17:03:03.171307,517.99,e8a79bfc-b871-4dc1-906e-6d6ed5ab8e4a,Card,Walk-in Guest 71,,Manager Admin
37,2022-07-31T12:58:52.171307,16602.52,ba1d984b-f8ed-4842-b771-e8bfacf1d316,Cash,Counter Customer,Standard counter checkout,Manager Admin
38,2022-07-31T09:25:47.171307,12497.38,dc64b23e-e035-45f9-89a1-104ccc1f4029,UPI,Counter Customer,,Manager Admin
39,2022-07-31T20:53:09.171307,4767.16,c9924e68-c87e-411d-a769-4909c32fbd4d,Cash,Counter Customer,,Manager Admin
40,2022-07-31T21:48:04.171307,5317.6,8b728291-4b4d-444d-a07f-55571c1eb20a,Card,Walk-in Guest 58,,Manager Admin
41,2022-07-31T13:11:34.171307,2897.31,1a2c79fd-ed3d-4d1d-8aa6-be6daebc4f40,Card,Counter Customer,,Manager Admin
42,2022-07-31T21:19:52.171307,33339.26,72cdc665-adf1-4113-a071-02689ef55652,Cash,Counter Customer,,Manager Admin
43,2022-07-31T21:32:56.171307,750.52,af11f76d-a371-4e19-8372-bfd3c675f6ad,Card,Counter Customer,,Manager Admin
44,2022-07-31T20:47:19.171307,372.96,538f58fa-5ce1-4098-b307-0526fcfad551,Card,Counter Customer,,Manager Admin
45,2022-07-31T18:15:42.171307,82408.96,c807161f-a751-4c68-ac87-b48e0954f828,Cash,Counter Customer,,Manager Admin
46,2022-07-31T11:26:39.171307,8787.62,c7d2c0bb-97a3-4d7f-9594-c2cc5a987eed,UPI,Counter Customer,,Manager Admin
47,2022-07-31T17:16:08.171307,779.5,70d38a98-33ac-4a4c-b5f5-0b50ae0b4227,UPI,Counter Customer,,Manager Admin
48,2022-07-31T17:50:37.171307,2940.91,99263ab3-5a96-4abb-bbb8-0df7e278aff6,UPI,Counter Customer,,Manager Admin
49,2022-08-01T17:04:30.171307,2632.5,34426b49-0f20-49c8-baf5-3bf9954f0b04,Cash,Counter Customer,,Manager Admin
50,2022-08-01T17:50:55.171307,23565.29,95e9767c-764f-4833-8fd4-5dde833e5adb,UPI,Counter Customer,,Manager Admin
51,2022-08-01T12:31:32.171307,27902.5,0b7f75bd-4ec5-4a51-b6dc-5da8de5e72f8,UPI,Counter Customer,,Manager Admin
52,2022-08-01T14:24:57.171307,1028.72,b1bd33ba-970b-4b22-a9f5-10a1c360db76,Cash,Counter Customer,,Manager Admin
53,2022-08-01T11:04:41.171307,435.88,599fe6cb-e3ae-4fdf-8da2-4bb46972bd59,Cash,Counter Customer,,Manager Admin
54,2022-08-01T14:51:33.171307,1056.43,829140a0-8f30-49b0-b248-271a428f8428,Cash,Counter Customer,,Manager Admin
55,2022-08-01T15:03:28.171307,2596.3,e546be90-4bfd-4ca4-b278-06aa28dcf016,UPI,Walk-in Guest 35,,Manager Admin
56,2022-08-01T13:23:30.171307,128.05,a29b0bc6-f2b6-4cb8-8c7e-67d9ae7f742a,UPI,Counter Customer,,Manager Admin
57,2022-08-01T17:43:56.171307,1300.26,9faae1c2-5eea-46a1-a3bd-051ce152e30e,Cash,Walk-in Guest 97,,Manager Admin
58,2022-08-01T20:02:14.171307,1512.33,6e3061c7-dbc9-4265-85e2-1828d277321b,Cash,Counter Customer,,Manager Admin
59,2022-08-01T21:16:06.171307,19035.83,0ae578a9-cdf1-4bec-b123-34888d4c0216,Cash,Counter Customer,,Manager Admin
60,2022-08-01T13:25:03.171307,88360.2,e066421e-a9d7-4ce7-a0ae-ec68c76199db,Cash,Counter Customer,,Manager Admin
61,2022-08-02T20:54:27.171307,30016.74,ca8f2c2e-3647-440a-9b7b-7d26643f0581,UPI,Counter Customer,,Manager Admin
62,2022-08-02T15:19:10.171307,291.98,8f11a853-f2e0-4d95-9865-552089b0fe0d,Cash,Counter Customer,,Manager Admin
63,2022-08-02T12:18:16.171307,1101.44,9e629f77-140d-44e7-85c7-ea677956951f,UPI,Counter Customer,,Manager Admin
64,2022-08-02T21:40:01.171307,33506.04,56c2eee4-bfb0-4a39-bb75-35030b6c665e,Cash,Walk-in Guest 67,,Manager Admin
65,2022-08-02T19:40:20.171307,1208.16,39f28322-4839-406d-98a5-8fb2394682c8,UPI,Walk-in Guest 51,,Manager Admin
66,2022-08-02T16:47:33.171307,963.69,51cf0112-fecf-4b93-8b88-613b813c0969,Cash,Counter Customer,,Manager Admin
67,2022-08-03T13:24:15.171307,1889.4,3a0092d2-534b-415d-ae37-c0d42152fde2,UPI,Counter Customer,,Manager Admin
68,2022-08-03T10:55:48.171307,189.31,5eb0f43b-92cf-4b78-a568-da29dfb31142,UPI,Counter Customer,,Manager Admin
69,2022-08-03T16:23:11.171307,675.26,7cf117ec-4a09-4dfa-936b-0aeb96a94708,Cash,Counter Customer,,Manager Admin
70,2022-08-03T16:48:43.171307,3387.06,f1c85af4-6369-40e1-80d8-bef1261a523e,Cash,Walk-in Guest 43,,Manager Admin
71,2022-08-03T14:50:11.171307,140.54,9c767b85-5a68-4b09-823b-5cc230cbd25f,UPI,Walk-in Guest 44,,Manager Admin
72,2022-08-03T18:35:05.171307,69258.81,3aec1879-50d9-4c17-943f-79e16be5d1ca,UPI,Counter Customer,,Manager Admin
