id,order_id,product_id,quantity,price_at_sale
1,1,43,2,452.09
2,2,23,1,14618.6
3,2,98,1,383.7
4,2,79,2,222.94
5,3,51,1,1381.23
6,3,77,1,204.1
7,3,94,1,225.16
8,4,9,2,558.56
9,5,50,2,223.53
10,5,12,2,336.7
11,5,86,2,35123.61
12,5,47,1,576.56
13,6,14,1,424.63
14,7,8,2,265.76
15,7,69,1,2056.67
16,7,35,1,231.66
17,7,73,1,30734.82
18,8,19,1,221.74
19,9,73,1,30734.82
20,9,70,1,276.51
21,9,51,1,1350.08
22,9,5,2,175.46
23,10,22,2,331.02
24,10,9,2,592.93
25,11,38,2,223.95
26,11,80,1,1573.93
27,11,49,2,427.15
28,12,87,1,33478.23
29,12,92,1,27057.02
30,13,60,2,175.99
31,13,51,1,1381.23
32,13,90,2,763.95
33,14,55,2,220.07
34,15,32,2,203.36
35,16,25,1,13311.09
36,16,48,2,359.69
37,17,69,2,2099.22
38,18,83,1,8733.12
39,19,75,2,422.74
40,19,60,1,165.4
41,19,94,1,211.61
42,20,22,1,367.0
43,21,71,1,415.71
44,21,50,1,263.08
45,21,94,2,233.62
46,22,69,2,2056.67
47,23,31,1,247.7
48,23,72,1,449.01
49,23,92,2,28139.31
50,24,71,1,415.71
51,25,23,1,15203.34
52,26,21,2,1135.71
53,26,15,1,186.48
54,26,35,1,272.65
55,26,93,1,367.89
56,27,63,2,165.59
57,28,91,1,296.53
58,29,19,2,221.74
59,29,57,1,747.77
60,30,11,1,175.11
61,31,9,1,623.01
62,31,77,1,199.5
63,32,55,2,234.16
64,32,52,2,215.94
65,33,5,2,168.71
66,34,58,2,18763.93
67,34,28,2,376.66
68,35,18,2,292.75
69,36,24,2,72.16
70,37,44,2,1101.44
71,38,75,2,422.74
72,38,9,1,601.52
73,39,16,1,370.6
74,39,89,1,222.16
75,39,7,1,191.99
76,40,6,2,179.84
77,41,56,1,272.01
78,41,86,2,35934.15
79,41,95,2,24780.16
80,41,8,1,271.89
81,42,50,2,263.08
82,42,68,1,9905.97
83,42,99,2,1293.07
84,42,30,2,368.39
85,43,55,1,242.96
86,44,31,1,247.7
87,45,67,1,303.65
88,46,13,1,283.78
89,46,91,1,296.53
90,46,52,1,211.07
91,47,80,1,1636.88
92,47,55,1,228.88
93,47,3,2,221.07
94,48,1,1,468.12
95,49,35,2,272.65
96,50,89,2,231.05
97,50,33,1,478.67
98,51,57,1,747.77
99,51,77,1,222.52
100,52,97,2,287.62
101,52,51,1,1350.08
102,53,39,2,40491.42
103,53,29,2,1135.67
104,53,5,2,186.26
105,54,45,2,69.26
106,54,60,2,202.45
107,54,56,2,282.24
108,55,80,2,1636.88
109,55,94,2,245.47
110,55,21,1,1069.87
111,56,18,1,319.16
112,57,74,1,133.17
113,57,86,2,35123.61
114,57,62,1,37385.36
115,58,50,1,249.33
116,59,4,2,439.58
117,60,48,2,413.77
118,60,29,1,1135.67
119,61,50,2,249.33
120,61,49,1,495.49
121,61,47,1,576.56
122,61,13,2,283.78
123,62,74,1,141.37
124,63,85,2,349.19
125,63,74,2,143.42
126,63,36,2,110.15
127,64,34,2,724.75
128,65,99,1,1386.77
129,65,74,2,151.61
