id,supplier_name,supplier_gstin,invoice_no,date,total_amount,gst_amount,cgst,sgst,igst,itc_eligible,payment_status,verification_status,verified_at,verified_by,discrepancy_count
1,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2208-759,2022-08-05T09:00:00.171307,1179859.79,212374.76,106187.38,106187.38,0.0,True,Paid,Verified,2022-08-05T11:00:00.171307,Manager Admin,0
2,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2208-415,2022-08-20T09:00:00.171307,1226295.8,220733.24,110366.62,110366.62,0.0,True,Paid,Verified,2022-08-20T11:00:00.171307,Manager Admin,0
3,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2209-713,2022-09-05T09:00:00.171307,511312.62,92036.27,46018.14,46018.14,0.0,True,Paid,Verified,2022-09-05T11:00:00.171307,Manager Admin,0
4,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2209-872,2022-09-20T09:00:00.171307,1340124.6300000004,241222.43,120611.21,120611.21,0.0,True,Pending,Verified,2022-09-20T11:00:00.171307,Manager Admin,0
5,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2210-192,2022-10-05T09:00:00.171307,2165396.92,389771.45,194885.73,194885.73,0.0,True,Paid,Verified,2022-10-05T11:00:00.171307,Manager Admin,0
6,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2210-718,2022-10-20T09:00:00.171307,2473294.58,445193.02,222596.51,222596.51,0.0,True,Paid,Verified,2022-10-20T11:00:00.171307,Manager Admin,0
7,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2211-646,2022-11-05T09:00:00.171307,2801319.8999999994,504237.58,252118.79,252118.79,0.0,True,Paid,Verified,2022-11-05T11:00:00.171307,Manager Admin,0
8,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2211-900,2022-11-20T09:00:00.171307,2399656.79,431938.22,215969.11,215969.11,0.0,True,Paid,Verified,2022-11-20T11:00:00.171307,Manager Admin,0
9,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2212-380,2022-12-05T09:00:00.171307,1539421.9200000002,277095.95,138547.98,138547.98,0.0,True,Paid,Verified,2022-12-05T11:00:00.171307,Manager Admin,0
10,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2212-291,2022-12-20T09:00:00.171307,5096329.259999999,917339.27,458669.64,458669.64,0.0,True,Pending,Verified,2022-12-20T11:00:00.171307,Manager Admin,0
11,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2301-693,2023-01-05T09:00:00.171307,3757077.2300000004,676273.9,338136.95,338136.95,0.0,True,Paid,Verified,2023-01-05T11:00:00.171307,Manager Admin,0
12,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2301-755,2023-01-20T09:00:00.171307,4316236.32,776922.54,388461.27,388461.27,0.0,True,Paid,Verified,2023-01-20T11:00:00.171307,Manager Admin,0
13,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2302-423,2023-02-05T09:00:00.171307,657640.2499999999,118375.24,59187.62,59187.62,0.0,True,Paid,Verified,2023-02-05T11:00:00.171307,Manager Admin,0
