id,transaction_id,product_id,quantity,price_at_sale
1,1,45,1,74.28
2,2,26,1,228.39
3,2,58,1,18763.93
4,3,49,1,427.15
5,3,72,2,387.08
6,3,66,1,330.95
7,3,16,1,370.6
8,4,42,2,22147.82
9,4,41,1,234.31
10,5,21,1,1094.56
11,5,7,2,204.27
12,5,80,2,1674.66
13,6,9,1,571.45
14,7,52,1,202.95
15,7,46,2,353.04
16,7,81,1,486.93
17,8,46,2,353.04
18,8,24,2,64.42
19,8,83,2,7797.42
20,8,36,2,110.15
21,9,64,2,392.54
22,9,69,1,2099.22
23,9,94,1,225.16
24,9,54,1,8352.36
25,10,84,2,389.67
26,10,100,2,846.52
27,10,8,1,271.89
28,10,39,2,39024.34
29,11,6,2,189.31
30,11,14,2,384.62
31,11,20,1,14427.7
32,11,74,1,128.05
33,12,33,2,429.16
34,13,71,2,391.61
35,14,65,2,18900.17
36,15,41,1,243.69
37,15,51,2,1350.08
38,16,70,2,291.77
39,16,58,2,19469.34
40,16,55,1,242.96
41,17,30,1,347.04
42,17,92,2,28139.31
43,17,32,2,211.5
44,17,100,2,827.42
45,18,92,1,28139.31
46,19,16,2,385.42
47,20,20,2,15928.18
48,20,63,2,165.59
49,21,16,1,453.61
50,21,22,1,331.02
51,21,97,1,305.32
52,22,28,2,330.85
53,22,84,1,381.77
54,22,96,2,337.95
55,23,2,2,240.6
56,23,50,2,237.29
57,23,96,1,397.74
58,23,35,2,245.92
59,24,41,1,243.69
60,24,70,2,276.51
61,24,13,2,283.78
62,24,78,2,12794.89
63,25,83,2,8109.32
64,25,94,2,220.08
65,26,12,1,336.7
66,26,79,2,231.85
67,26,59,1,402.13
68,26,78,1,12794.89
69,27,28,1,389.38
70,27,16,2,453.61
71,27,68,2,9905.97
72,27,63,2,165.59
73,28,28,2,369.02
74,29,54,1,8163.96
75,29,94,2,220.08
76,29,19,1,221.74
77,29,90,2,746.72
78,30,21,1,1069.87
79,30,79,1,231.85
80,30,37,2,1002.24
81,30,93,2,346.57
82,31,44,1,1215.99
83,31,56,2,282.24
84,31,7,1,211.95
85,31,28,2,389.38
86,32,97,1,287.62
87,32,65,1,17911.92
88,33,43,2,499.1
89,33,76,1,244.16
90,33,98,1,423.6
91,34,62,1,39686.0
92,34,79,2,246.12
93,34,55,2,242.96
94,35,62,1,39686.0
95,35,94,1,233.62
96,35,54,2,8666.36
97,35,36,2,121.61
98,36,56,1,282.24
99,36,31,1,235.75
100,37,17,1,16203.47
101,37,98,1,399.05
102,38,69,2,2056.67
103,38,94,1,220.08
104,38,54,1,8163.96
105,39,69,2,2170.14
106,39,59,1,426.88
107,40,64,2,407.29
108,40,69,2,2170.14
109,40,82,1,162.74
110,41,97,1,287.62
111,41,70,2,276.51
112,41,69,1,2056.67
113,42,20,2,15928.18
114,42,67,1,322.34
115,42,93,1,367.89
116,42,90,1,792.67
117,43,41,1,258.68
118,43,35,2,245.92
119,44,15,2,186.48
120,45,2,1,240.6
121,45,36,1,121.61
122,45,39,2,40491.42
123,45,37,1,1063.91
124,46,54,1,8163.96
125,46,22,2,311.83
126,47,46,2,389.75
127,48,40,2,1161.56
128,48,5,2,186.26
129,48,89,1,245.27
130,49,7,1,204.27
131,49,64,2,392.54
132,49,33,2,439.06
133,49,57,1,765.03
