sale_date,product_id,product_name,category,quantity_sold,price_per_item,base_cost_per_item,total_amount,payment_method,customer_name,sale_channel
2022-07-27T09:25:56.171307,42,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics,2,22147.82,17718.26,44295.64,Cash,Walk-in Guest 93,POS (Offline)
2022-07-27T09:25:56.171307,41,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Met",Computers & Accessories,1,234.31,187.45,234.31,Cash,Walk-in Guest 93,POS (Offline)
2022-07-27T10:05:16.171307,49,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Origi,Electronics,1,427.15,341.72,427.15,Cash,Walk-in Guest 39,POS (Offline)
2022-07-27T10:05:16.171307,72,"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charging Cable Compatib",Computers & Accessories,2,387.08,309.66,774.16,Cash,Walk-in Guest 39,POS (Offline)
2022-07-27T10:05:16.171307,66,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",Electronics,1,330.95,264.76,330.95,Cash,Walk-in Guest 39,POS (Offline)
2022-07-27T10:05:16.171307,16,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers & Accessories,1,370.6,296.48,370.6,Cash,Walk-in Guest 39,POS (Offline)
2022-07-27T14:25:02.171307,98,"Gilary Multi Charging Cable, 3 in 1 Nylon Braided Fast Charging Cable for iPhone Micro USB Type",Computers & Accessories,1,383.7,306.96,383.7,UPI/Card (Online),Online Customer 672,Online E-commerce
2022-07-27T14:25:02.171307,79,SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11,Computers & Accessories,2,222.94,178.35,445.88,UPI/Card (Online),Online Customer 672,Online E-commerce
2022-07-27T14:25:02.171307,23,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Bl,Electronics,1,14618.6,11694.88,14618.6,UPI/Card (Online),Online Customer 672,Online E-commerce
2022-07-27T15:05:02.171307,43,"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipa",Computers & Accessories,2,452.09,361.67,904.18,UPI/Card (Online),Online Customer 663,Online E-commerce
2022-07-27T16:10:35.171307,81,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",Computers & Accessories,1,486.93,347.81,486.93,Card,Walk-in Guest 52,POS (Offline)
2022-07-27T16:10:35.171307,52,AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Fe,Computers & Accessories,1,202.95,162.36,202.95,Card,Walk-in Guest 52,POS (Offline)
2022-07-27T16:10:35.171307,46,"Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone, Ios And Type C U",Computers & Accessories,2,353.04,282.43,706.08,Card,Walk-in Guest 52,POS (Offline)
2022-07-27T19:34:07.171307,26,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Comput,Electronics,1,228.39,171.72,228.39,Cash,Counter Customer,POS (Offline)
2022-07-27T19:34:07.171307,58,OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),Electronics,1,18763.93,14108.22,18763.93,Cash,Counter Customer,POS (Offline)
2022-07-27T19:53:38.171307,45,"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Da",Computers & Accessories,1,74.28,50.19,74.28,Cash,Walk-in Guest 94,POS (Offline)
